,FREQUENCY,SEX,AGE,BELGIUM,BULGARIA,CZECHIA,DENMARK,GERMANY,ESTONIA,IRELAND,GREECE,SPAIN,CROATIA,ITALY,CYPRUS,LATVIA,LITHUANIA,LUXEMBOURG,HUNGARY,MALTA,AUSTRIA,POLAND,PORTUGAL,ROMANIA,SLOVENIA,SLOVAKIA,FINLAND,SWEDEN,UNITED KINGDOM,ICELAND,NORWAY
103,MTH,F,Y65-74,16.0,16.9,24.5,18.9,26.1,16.0,20.1,13.7,11.0,11.3,12.2,12.5,15.8,13.3,19.5,11.3,16.9,31.4,13.8,6.4,17.6,21.6,17.5,26.5,22.5,12.2,32.9,41.4
104,MTH,F,Y75+,11.8,13.1,19.6,23.7,25.3,5.1,14.2,10.0,7.4,7.2,9.9,6.5,6.1,4.9,21.1,6.1,12.4,24.2,6.5,4.9,10.2,17.4,10.3,20.2,21.5,11.3,23.4,32.0
105,MTH,M,Y15-24,22.7,25.5,25.5,39.2,30.8,25.6,31.5,31.4,27.0,35.5,23.5,28.4,34.9,34.3,34.2,33.5,25.0,39.9,33.2,26.6,24.3,37.0,36.0,40.0,30.5,19.9,34.3,56.4
106,MTH,M,Y25-34,21.3,34.6,27.3,32.1,25.8,38.4,34.7,34.5,25.4,33.9,24.1,35.0,45.1,54.2,25.6,30.4,35.7,34.5,39.0,26.5,35.8,28.1,39.4,32.4,38.3,21.9,45.5,55.7
107,MTH,M,Y35-44,16.5,31.1,22.4,29.8,25.2,32.2,30.0,29.4,21.0,23.9,23.6,35.1,42.5,46.2,25.8,30.3,28.4,29.6,37.5,15.3,35.1,29.3,37.0,24.5,31.7,17.6,44.6,51.5
108,MTH,M,Y45-54,17.2,22.9,15.2,22.1,19.2,31.6,21.3,29.3,15.7,22.7,22.6,26.8,41.5,47.6,17.0,27.6,21.4,26.0,36.2,6.6,32.9,20.5,32.9,25.8,26.9,13.3,45.3,48.0
109,MTH,M,Y55-64,12.2,21.2,17.6,13.4,14.6,29.3,17.5,22.8,12.5,18.7,18.5,25.6,37.1,47.5,16.1,19.3,23.4,20.9,34.4,6.8,31.6,18.0,25.7,21.9,20.8,11.2,35.2,37.4
110,MTH,M,Y65-74,11.1,23.8,14.6,10.0,14.6,33.1,17.5,21.6,10.1,17.1,14.3,21.3,33.7,32.1,11.2,17.3,19.7,17.1,26.6,7.4,29.2,14.1,25.3,26.9,20.1,12.2,36.4,33.2
111,MTH,M,Y75+,10.9,22.0,13.7,11.9,18.4,22.0,12.5,15.9,8.6,10.1,11.4,18.4,17.6,25.9,10.0,10.8,22.5,23.8,19.0,3.8,26.2,11.9,21.2,21.4,19.5,10.0,23.1,29.4
112,WEEK,F,Y15-24,21.5,2.0,12.5,18.7,18.4,10.1,12.4,2.8,11.5,3.4,7.8,0.0,3.8,2.4,4.0,2.7,28.7,17.6,2.8,6.5,1.0,10.2,3.3,7.6,15.2,15.8,6.0,10.8
113,WEEK,F,Y25-34,6.1,6.2,0.0,0.0,15.0,15.4,24.3,18.0,8.8,0.0,15.8,3.0,2.8,0.0,17.2,0.0,17.5,4.0,2.7,10.5,8.1,0.0,12.7,0.0,12.1,21.0,4.1,12.8
114,WEEK,F,Y35-44,21.4,11.0,25.9,18.2,20.6,18.3,34.2,10.6,15.0,6.9,13.8,1.8,4.7,11.4,16.2,1.3,15.1,7.4,9.1,10.9,11.3,11.1,14.3,0.0,12.4,28.7,9.0,8.7
115,WEEK,F,Y45-54,22.7,11.9,10.1,28.3,29.5,0.0,32.0,12.3,15.8,5.6,15.6,0.8,0.0,0.0,30.6,4.1,18.3,11.6,8.1,16.2,6.5,4.2,13.0,33.2,30.5,34.2,11.7,25.2
116,WEEK,F,Y55-64,31.2,5.9,19.8,30.2,28.7,2.1,37.0,10.0,13.4,5.8,14.1,5.3,1.5,8.7,28.6,2.4,11.6,18.1,1.6,12.4,4.9,12.2,2.7,24.7,25.6,37.9,6.6,25.5
117,WEEK,F,Y65-74,24.9,7.5,16.6,33.6,29.4,2.1,25.7,5.8,7.8,4.5,9.6,4.5,1.7,4.7,32.3,7.0,12.4,16.5,2.1,7.9,5.7,14.9,3.2,20.3,37.5,32.4,13.4,26.2
118,WEEK,F,Y75+,19.0,4.7,10.7,27.9,16.9,1.0,12.4,5.4,3.6,6.9,9.3,2.3,1.0,0.0,21.9,5.9,5.3,12.3,2.2,6.2,3.3,13.3,0.0,12.7,19.8,19.6,2.7,13.3
119,WEEK,M,Y15-24,38.9,17.1,18.1,23.2,27.2,16.7,15.1,12.5,19.2,6.6,18.6,1.9,6.5,5.8,27.4,9.1,42.5,26.3,5.5,21.6,6.6,14.7,10.1,9.4,14.0,20.7,6.5,15.8
120,WEEK,M,Y25-34,26.3,22.4,0.0,28.0,32.5,30.3,37.0,27.5,29.5,35.2,42.5,17.8,23.1,51.8,19.9,20.3,42.2,23.6,29.7,35.1,34.2,29.3,32.2,0.0,21.7,33.3,18.8,17.3
121,WEEK,M,Y35-44,43.6,38.9,40.7,31.6,33.6,31.7,41.9,25.9,30.2,26.6,38.3,32.7,19.6,31.5,29.6,19.0,30.5,31.6,29.6,28.5,37.9,14.3,23.2,0.0,41.8,40.5,11.0,16.9
122,WEEK,M,Y45-54,50.2,31.3,0.0,32.0,39.1,22.1,49.6,37.4,23.3,22.8,33.9,23.9,26.2,0.0,39.3,17.4,35.5,31.0,17.2,21.9,41.1,29.0,33.3,34.0,35.9,49.6,15.7,33.7
123,WEEK,M,Y55-64,31.9,22.0,33.1,42.4,41.0,25.2,49.9,31.6,18.2,19.4,28.2,20.5,26.0,37.7,36.5,19.0,29.2,27.1,20.9,13.1,35.2,35.1,17.0,48.8,56.1,46.3,22.8,45.7
124,WEEK,M,Y65-74,29.6,23.9,26.8,45.4,37.7,17.2,44.0,24.6,14.4,14.5,21.5,33.6,10.7,18.0,41.8,19.2,23.2,35.1,13.7,12.2,26.9,24.5,20.0,33.6,42.0,42.3,22.3,42.0
